Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.0721,0.5538,0.0874,-0.4893,-1.1443,-0.6105
0.7010,0.7286,-0.1181,-0.6320,-1.1443,-0.6105
0.8253,0.1043,0.6934,-0.3758,-1.1443,-0.6105
-0.0138,-0.4188,1.2671,-0.2148,-1.1443,-0.6105
-0.0031,-0.8053,1.4926,0.1442,-1.1443,-0.6105
1.2717,0.4295,0.1028,0.1381,1.0293,-0.6397
0.6765,-0.5246,0.1058,0.5676,1.0308,-0.6397
-0.6826,-0.5231,-0.0874,0.5507,1.0324,-0.6397
-1.0953,-0.3421,0.4847,0.2132,0.1979,-0.6397
-1.2195,-0.3283,0.4479,0.2178,0.1979,0.1933